# Tatoeba English short-word priors; generated by generate_short_word_ngrams.py
# previous<TAB>next<TAB>weight or prior<TAB>previous<TAB>next<TAB>weight
devoid	of	13
devoted	to	11
did	he	12
did	it	12
did	not	13
did	she	12
did	the	12
did	you	15
didn't	do	12
didn't	get	12
didn't	go	11
didn't	say	11
didn't	see	12
didn't	you	12
died	in	12
difficult	for	11
difficult	to	13
dispose	of	13
do	is	11
do	it	13
do	not	13
do	the	12
do	to	11
do	we	12
do	you	15
does	he	12
does	it	12
does	not	13
does	she	11
does	the	12
dog	is	12
dog	was	11
doing	it	11
don't	be	12
don't	do	11
don't	eat	11
don't	get	12
don't	go	11
don't	let	12
don't	see	11
don't	we	12
don't	you	13
done	it	11
doomed	to	12
door	and	11
door	to	11
door	was	11
down	and	11
down	on	12
down	the	13
down	to	12
dozed	off	12
dozens	of	13
dreamed	of	12
drowned	in	12
due	to	14
during	the	14
eager	to	13
easier	to	12
easy	for	11
easy	to	14
eat	the	11
edge	of	13
effect	on	11
effects	of	12
effort	to	12
elephants	are	11
else	to	12
end	of	13
end	up	11
ended	up	13
engage	in	13
engaged	in	12
english	is	12
enjoy	the	11
enjoyed	the	12
enough	for	11
enough	to	13
enter	the	12
entered	the	14
entering	the	11
entitled	to	13
equal	to	11
esperanto	is	12
essence	of	12
even	if	12
even	the	11
every	day	13
everyone	has	11
everyone	is	12
everyone	was	11
everything	in	11
everything	is	12
everything	was	11
everything	you	11
examined	the	11
example	of	11
examples	of	11
excuse	me	13
existence	of	11
exited	the	12
expected	to	12
expense	of	11
explore	the	11
explored	the	12
exploring	the	11
exposed	to	11
fadil	was	12
fail	to	11
failed	to	12
fails	to	11
faith	in	12
faithful	to	11
fan	of	12
fascinated	by	12
fast	as	12
father	is	12
father	was	11
favor	of	12
fed	up	12
fell	in	11
fig	jam	11
figs	are	11
figure	out	13
find	her	11
find	him	11
find	it	12
find	out	12
find	the	12
finish	the	11
fix	the	12
fixed	the	12
fixing	the	11
floating	in	11
flock	of	11
flow	of	11
flush	the	11
focus	on	13
focused	on	13
focusing	on	12
fold	the	11
follow	the	12
fond	of	13
food	is	11
for	all	11
for	an	12
for	her	12
for	him	12
for	his	12
for	it	12
for	its	11
for	me	13
for	my	12
for	our	11
for	the	14
for	two	11
for	us	12
for	you	13
forbidden	to	11
forced	to	13
forget	to	13
forgot	to	13
form	of	12
forms	of	11
forward	to	14
found	it	11
found	out	11
found	the	12
foundation	of	12
france	is	11
freaked	out	13
freaking	out	12
free	to	11
french	is	12
friend	of	11
friendship	is	11
from	her	12
from	him	12
from	his	12
from	me	11
from	my	12
from	the	14
from	you	11
front	of	14
frying	pan	11
fucked	up	11
full	of	14
fun	of	12
gave	her	11
gave	him	12
gave	me	12
gave	the	11
gave	up	11
germany	is	11
get	her	11
get	his	11
get	in	12
get	it	11
get	me	11
get	my	11
get	off	11
get	on	11
get	out	12
get	rid	11
get	the	12
get	to	12
get	up	12
get	you	11
give	him	11
give	it	12
give	me	13
give	up	12
give	us	11
give	you	12
glad	to	12
glad	you	12
glanced	at	11
glass	of	13
glimpse	of	12
go	and	12
go	by	11
go	for	11
go	get	11
go	in	11
go	on	12
go	out	12
go	to	14
goal	is	11
goes	to	12
going	on	12
going	out	11
going	to	15
good	at	12
good	for	12
good	to	12
goodbye	to	12
got	his	11
got	in	11
got	out	11
got	the	12
got	to	13
got	up	11
grain	of	11
grateful	for	12
grew	up	13
group	of	12
guilty	of	11
guinea	pig	11
habit	of	13
had	an	12
had	his	11
